Name,Mobile,Salary,Age,City
Sindu,9213878147,41559,30,Mumbai
Mohan,9806050748,49858,26,Vizag
Jyotsna,9492266703,45589,29,Chennai
Yadav,9363084322,44104,25,Madurai
Kurnakar,9624480447,43277,21,Hyderabad
Abhi,9126072069,42332,23,Chennai
Bhargav,9295872933,42635,29,Vizag
Sandeep,9425025027,42374,27,Kolkata
Farheen,9163404941,41179,24,Delhi
Manasa,9841563866,44617,21,Kashmir
Bobby,9809306601,41965,30,Delhi
Prudhvi,9956434498,48055,26,Hyderabad
Nani,9462145986,40649,26,Vizag
Aditya,9323227386,48450,29,Kashmir
Mounica,9354005410,48229,22,Madurai
Gagan,9850269027,44779,28,Chennai
VAse,9971401850,48359,26,Mumbai
Lalitha,9285316803,46827,20,Guntur
Yeswanth,9821031275,47311,27,Kadapa
